原始词	标准词
口唇也不紫	口唇发绀
鼻子塞	鼻塞
大便次数变多	腹泻
大便次数还是增加	腹泻
大便有点稀糊	稀便
稀糊状	稀便
不高兴	情绪异常
39.1	高热
超过38.5，39以下	中等度热
化脓	脓肿
咽痛	咽喉不适
黏糊	糊状便
拉的没得次数	腹泻
消化功能出现了问题	消化不良
肠道的炎症	肠炎
离子紊乱	电解质紊乱
肾脏的损伤	肾炎
精神状态特别不好	精神软
免疫力太低	免疫力低下
一天拉四次。有点稀	腹泻
拉了两次，颜色有点绿偏白色	绿便
大便又有点黏稠	大便粘液
病毒性肠炎	肠炎
尿量达不到6到8次	尿量减少
小便也不是清亮的，是黄黄的，浑浊的	尿液浑浊
腹泻特别严重每天达七八次以上，量还很大	腹泻
38.5	中等度热
手脚热乎	发热
拉的不稀	稀便
消化不了	消化不良
涨肚子	腹胀
肠道抵抗力差	免疫力低下
大便有时是黄色稀样	稀便
深色有泡沫，粘稠	泡沫便
肠道产气比较多	肠管胀气
弹性比较差	皮肤弹性差
前囟凹陷	卤门凹陷
没有眼泪	流泪
眼泪减少	流泪
拉大便一天四十左右	腹泻
胃肠道没有完全发育好	胃肠功能紊乱
大便基本6天一次	便秘
拉了有点稀	稀便
大便改变	稀便
东西从胃里通过食道返上来	胃食管反流
食道倒流	胃食管反流
胃食道反流	胃食管反流
胃气上逆	反胃
鼻出血	鼻流血
凝血异常	凝血功能障碍
不怎么吃饭	食欲不振
烦躁不安	烦躁
哼哼唧唧	烦躁
舌苔有点发黄	舌苔厚黄
口气有点发酸	口臭
舌苔发黄	舌苔厚黄
口气有点酸	口臭
吃奶欠佳	食欲不振
别的都不吃	食欲不振
嗓子发红	咽喉炎
嗓子的疼痛	咽喉不适
喊	哭闹
喊叫	哭闹
两三天才拉大便	便秘
都是水	水样便
大便性状比较稀	稀便
拉稀便，还有点频繁	稀便
拉稀便	稀便
点头	抽搐
睡觉不踏实	睡眠障碍
挑食	食欲不振
晚上容易醒	睡眠障碍
夜间容易醒	睡眠障碍
大便次数增加	腹泻
特殊病原体感染	感染
嘴干	口唇干燥
不吃饭	食欲不振
快一个星期没吃饭了	食欲不振
一点都不吃	食欲不振
一天一点都不怎么吃的	食欲不振
啥也不吃	食欲不振
胃肠功能就不好	胃肠功能紊乱
39度3	高热
高烧39度	高热
范惊	惊厥
睡觉不安稳	睡眠障碍
犯惊	惊厥
睡不踏实	睡眠障碍
惊觉	惊厥
手脚抖动	抽搐
吃饭不好	食欲不振
睡眠不安	睡眠障碍
惊吓	惊厥
39度	高热
38.6左右	中等度热
鼻子有点咕噜	粗糙呼吸音
体温38.6	中等度热
拉一点粘粘	大便粘液
咳嗽有痰	咳痰
便便每天三次	腹泻
便便里有很细小的小蛋花，比较稀	蛋花汤样便
大便图片，墨绿色	绿便
体温还是38度左右	低热
一直睡觉	嗜睡
拉的很稀	稀便
粥样	粥样便
高烧38.8	发热
睡觉惊	睡眠障碍
大便次数仍然比较多	腹泻
胖子发言	咽喉炎
发烧烧到39度	发热
浠水样变	水样便
拉个不停	腹泻
肠道粘膜的损伤	肠粘膜受损
缺氧缺血性脑病	脑病
脑缺氧	缺氧
胃消化不好	消化不良
吐奶渣	呕吐
肚子里咕噜咕噜	肠鸣音
粑粑里面也有这个瓣	稀便
大便频繁	腹泻
拉的都是屁水	水样便
拉的有不消化，和粘液	大便粘液
拉的厉害	腹泻
大便仔细看有褐色颗粒状物	黑便
肠粘膜破损	肠粘膜受损
拉的大便又是干的	大便干燥
奶瓣状	糊状便
大便里面有粘液	大便粘液
拉了黄水	水样便
次数较之前增多了	腹泻
舌苔也厚起来了白的	舌苔发白
尿不多	尿量减少
8小时以上一点尿没有	尿量减少
尿是黄的	尿黄
没尿	尿量减少
肚子咕噜咕噜的响	肠鸣音
菌痢	痢疾
小咳	咳嗽
有泌尿道的问题	尿路感染
尿的很少	尿量减少
37.5以下	低热
精神状态持续不好	精神软
一天拉了七八次	腹泻
水比较多	水样便
小便量和原来比，有减少	尿量减少
大便有颗粒	稀便
大便水多	水样便
水样泻	水样便
大便水	水样便
一天七八次	腹泻
皮肤弹性差	皮肤干燥
囟门凹陷	卤门凹陷
粑粑颜色是黄色的，味蛮大	大便酸臭
电解质缺乏	电解质紊乱
精神持续不好	精神软
病毒性炎症	病毒感染
37，5	低热
炎症感染引	感染
病毒性上呼吸道感染	呼吸道感染
发烧超过38.5度	中等度热
大便绿色	绿便
便是绿色	绿便
泡沫状黄色的便便	泡沫便
大便特别稀	稀便
大便中有泡沫	泡沫便
闹睡	哭闹
肠蠕动过快	胃肠功能紊乱
稀水样便	水样便
电解质的紊乱	电解质紊乱
稀水样的便	稀便
吃感觉比之前少了	食欲不振
不拉屎	便秘
大便不规律	便秘
大便都不规律	便秘
长时间的不大便	便秘
先天发育的问题	先天性肠道闭锁
先天性巨结肠	巨结肠
大便是，嗯，像咖啡色一样的有点粘	大便粘液
大便就有血	血便
拉有肛门有点血	血便
便便有点硬	大便干燥
大便有血	血便
大便表面有血	血便
肛肠出血	消化道出血
大便干结	大便干燥
痰液	痰
呼吸声音很大	粗糙呼吸音
轮状病毒肠炎	轮状病毒感染
喉咙里有吱吱声	痰鸣音
喘息性支气管肺炎	支气管肺炎
喉咙里还是有吱吱声	痰鸣音
喉咙吱吱声	痰鸣音
眼泪	流泪
大便，有点稀	稀便
大便开始稀	稀便
三天一次大便	便秘
大便可以稀	稀便
大便还是稀	稀便
鼻子里呼哧呼哧响	粗糙呼吸音
流清水鼻子	鼻流涕
喉咙有点红	红肿
尿比平常少	尿量减少
蛋花汤样大便	水样便
大便当中奶瓣比较多，水特别的多	稀便
停的那一天也没拉	腹泻
水电解质的紊乱	电解质紊乱
精神状态仍然不佳	精神软
扁桃体有脓点	扁桃体炎
发炎	炎症
38.3	低热
嘶哑	声音嘶哑
今天拉了七八次了	腹泻
腹型	腹泻
大便当中有没有奶瓣儿	稀便
绿便便	绿便
尿也比之前少	尿量减少
发烫	发热
手很烫	发热
过高的体温	高热
手臂疼	四肢疼痛
精神一直不好	精神软
没多久就睡着了	嗜睡
嘴巴有点起火	上火
嘴巴有点红	发红
嘴唇有点红	发红
嘴唇发红	发红
扁桃体肿	扁桃体炎
睡觉总是哼哼唧唧的，像撑懒腰样憋得满脸通红，还不停的蹬腿	睡眠障碍
睡眠不是特别的安稳	睡眠障碍
咕噜咕噜响的声音	肠鸣音
肚子会响	肠鸣音
酸臭	大便酸臭
肚子有咕噜咕噜响	肠鸣音
吱吱声	痰鸣音
4-5次	腹泻
粥装	稀便
水状	水样便
38.5摄氏度	中等度热
缺乏钙	缺钙
咕噜咕噜响	肠鸣音
大便有时干燥	便秘
肠胃不好	胃肠功能紊乱
打寒蝉	寒战
爱睡	嗜睡
精神状况差	精神软
大便偏稀	稀便
两三天拉一次	便秘
今天拉了两次	腹泻
便稀	稀便
便便里面有黑丝是虫子	寄生虫感染
抵抗力有点差	免疫力低下
梗阻	肠梗阻
先天发育问题	先天性肠道闭锁
先天性的肠发育不良	先天性肠道闭锁
双肺纹理增重	肺纹理增多
大便水分比较多	水样便
痛	头痛
肚子还是有点涨	腹胀
很稀	稀便
大便次数是增多	腹泻
大便一直都是一天三次	腹泻
吐泡沫	口吐白沫
呼噜呼噜声音	痰鸣音
体温在38.5度以内	低热
肺部有固定湿性啰音	啰音
发低烧	低热
体温37度五	低热
37度7	低热
37度4	低热
39.1度	高热
病毒感染性感冒	感冒
耳痛	疼痛
三天都没有大便	便秘
宝宝还未足月	早产
哭声响亮	哭闹
低体温	低温
手脚也凉	四肢厥冷
大便粘粘	大便粘液
肚子不好	腹部不适
拉的次数多，稀	稀便
没拉了好几天	便秘
好几天不大便	便秘
胃肠道过敏	过敏
肚子阵发性疼	腹痛
小便量还多	尿量增多
扁桃体化脓	扁桃体炎
拉了水一样的黄绿色	水样便
疼痛	腹痛
小便减少	尿量减少
体温升高	发热
精神很不好	精神软
小便量很少	尿量减少
口腔疱疹	口腔溃疡
39	高热
呼吸道有感染	呼吸道感染
三天没拉	便秘
呼吸费力	呼吸困难
肚子摸着胀	腹胀
涨	腹胀
吃饭不太好	食欲不振
酸	大便酸臭
昨天拉了四次	腹泻
皮肤颜色苍白或发灰色	面色苍白
囟门或眼窝凹陷	卤门凹陷
小便量少或无尿	尿量减少
泪	流泪
尿量稍微减少	尿量减少
精神一般	精神软
喉舌庠	痒
睡觉的时候张嘴睡	嘴呼吸
吼吼声	痰鸣音
流口水	流涎
脑门有几个小痘痘	皮疹
不到一天拉了七八遍	腹泻
精神有时好有时不好	精神软
啦的次数越多	腹泻
便便出来还有玉米皮	消化不良
体温37.4轻微的低烧	低热
胃肠功能损伤	胃肠功能紊乱
脾胃功能不调	胃肠功能紊乱
气管里有炎症	气管炎
拉了几次都是水	水样便
拉的次数有点多	腹泻
肚胀	腹胀
绿色便便	绿便
肚子胀气	腹胀
免疫力差	免疫力低下
胃肠功能的紊乱	胃肠功能紊乱
四五天不大便	便秘
消化吸收能力	消化不良
拉得很频繁	腹泻
今天早晨刚一次，昨天没拉	便秘
大便有脓	脓血便
肠胃感冒	肠胃型感冒
嗓子不哑	嗓子沙哑
气管里面吱吱	气喘
支气管异物	气管支气管异物
焦躁	烦躁
大便，稀，而且次数偏多	稀便
食欲不佳	食欲不振
体温在37.3，37.4	低热
呼噜呼噜响	粗糙呼吸音
嗓子和右边胸腔呼呼的	粗呼吸音
嘴里吐泡沫	口吐白沫
嗓子呼噜呼噜有痰	痰鸣音
呼吸音粗	粗呼吸音
淋巴细胞百分比升高	病毒感染
抵抗力低	免疫力低下
水泄	水样便
花大便的	水样便
最高38.7	中等度热
流黏鼻涕	鼻流涕
黏鼻涕	鼻流涕
眼圈发红	眼睛发红
胃肠功能可能会有影响	胃肠功能紊乱
漾奶	呕吐
浠水	水样便
尿也多	尿量增多
大便性状是奶瓣，浠水	稀便
38	中等度热
体温最高38度	低热
38。少多一点	低热
没有呼噜	痰鸣音
中度发烧	中等度热
中度发生	中等度热
温烧	发热
38度以下	低热
38.5度以上	中等度热
流感病毒	禽流感
流鼻子多了呢，还黏稠	鼻流涕
流一点清鼻子	鼻流涕
呼吸道的疾病	呼吸道感染
呼吸呼达呼达的响	痰鸣音
气管粘膜出现炎性改变	气管炎
吃什么拉什么	消化不良
急性肠炎	急性胃肠炎
嗓子说，有点红	咽喉炎
发烧到38.5	中等度热
像话不良	消化不良
拉肚子，一天拉了好几次	腹泻
屎，发绿	绿便
病毒感染（轮状病毒）	轮状病毒感染
大便是拉硬的	大便干燥
拉西	稀便
精神太好	精神软
生长缓慢	生长发育异常
尿的黄	尿黄
尿很少也黄	尿黄
拉出来水黄黄	水样便
拉了三次	腹泻
黄水	水样便
没有吃饭	食欲不振
今天突然拉了4次	腹泻
拉的屎里面有奶瓣，还有水	稀便
今天到现在都拉了4次	腹泻
拉的比这希	稀便
大便有些发绿	绿便
今天突然就拉了好几次	腹泻
大便出现粘液或者脓血	大便粘液
拉了3次	腹泻
大便出现脓血	脓血便
烧37'度五左右	低热
跑肚	消化不良
大便下来的都是吃的东西	消化不良
五六次	腹泻
鼻涕样	糊状便
大便奶瓣，稀	稀便
鼻涕样粘液大便	糊状便
大便有点绿，有点稀	绿便
绿色便	绿便
大便稀，水多	稀便
37.9	低热
超过8小时一点尿没有	尿量减少
精神今天很差	精神软
精神可能不舒服	精神软
吃奶不好	食欲不振
拉屎。使劲挣	便秘
排便比较困难	便秘
这两天拉屎是彪老远	稀便
胃肠道有炎症	胃肠道炎症
大便次数稍微有点多	腹泻
毒	病毒感染
38左右	低热
拉的稀便	稀便
尿量突然减少	尿量减少
皮肤起皱褶	皮肤干燥
前囟门凹陷	卤门凹陷
食欲不怎么样	食欲不振
下嘴唇里面有小的红点点	疱疹
扁桃提发燕	扁桃体炎
咽喉起泡	疱疹
疱疹性咽峡炎	咽峡炎
扁桃体有炎症	扁桃体炎
客	咳嗽
又点亚	嗓子沙哑
痰响	痰鸣音
大便不是很通畅	便秘
大便拉不出来3天	便秘
不怎么通畅	便秘
大便绿	绿便
肺里有炎症	肺炎
气道的病毒	呼吸道感染
异物	气管支气管异物
细菌病毒	细菌感染
病毒细菌	病毒感染
舌苔很厚	舌苔厚黄
舌苔白厚	舌苔发白
脾胃不好	脾胃功能不调
大便次数比原来多	腹泻
拉绿便	绿便
胃肠道刺激	胃肠功能紊乱
一天大便几次，除了发绿，稀	绿便
一天超过5次大便	腹泻
舌头有厚厚的一层白	舌苔发白
不好好睡觉	睡眠障碍
舌苔发厚	舌苔厚黄
夜间睡眠比较少	睡眠障碍
睡眠时间有点少	睡眠障碍
白天几乎不睡	睡眠障碍
夜间睡眠时间减少	睡眠障碍
夜间睡眠减少	睡眠障碍
支原体阳性	支原体感染
肺	肺炎
白天大概四五次	腹泻
消化吸收不好	消化不良
母乳不耐受	乳糖不耐受
大便感觉不正常	腹泻
肚子会胀气	腹胀
大便是比平时稀	稀便
拉粑粑会很干	大便干燥
粑粑都很干	大便干燥
肚子也不鼓	腹胀
吃得少	食欲不振
拉粑粑天天拉	腹泻
嗓子有没有红肿	咽喉炎
肿	水肿
吐吐	呕吐
拉的水水	水样便
尿量有减少	尿量减少
便的有水	水样便
大便中有没有脓血	脓血便
稀糊糊	稀便
便中还有粘液	大便粘液
体温如果超过38度5	高热
大便还是粘液	大便粘液
体温38.8度	中等度热
38.8度	中等度热
不太喜欢吃东西	食欲不振
急躁	烦躁
病毒性的感冒	感冒
囟门高	卤门高
颈部淋巴结肿大	淋巴结肿大
精神确实不太好	精神软
囟门也不高	卤门高
囟门不高	卤门高
嗓子有一点红	咽喉炎
意识丧失	晕厥
口唇青紫	口周发青
四肢强直抽动	抽搐
肚子涨	腹胀
没拉	便秘
蛋花	蛋花汤样便
脱水酸中毒	脱水
超过38	中等度热
脓鼻涕	鼻流涕
流黄鼻泣	鼻流涕
从小都是药水伴大	免疫力低下
既往体质比较差	免疫力低下
超过38.5度的体温	高热
不超过38.5度的体温	高热
肚子押得有点痛	腹痛
体质不太好	免疫力低下
既往体质差	免疫力低下
咽喉部有没有红肿	咽喉炎
拉屎总带泡沫	稀便
大便当中带泡沫	泡沫便
拉大便的次数大概八九次	腹泻
大便中的水分特别的多	水样便
大便的次数增多	腹泻
哭嘶哑	声音嘶哑
尿量没有减少	尿量减少
便中有血有粘液	血便
肚子硬	腹部不适
胀气	肠管胀气
嘴巴里有泡	口腔溃疡
未消化的奶瓣	消化不良
前囟门	卤门凹陷
烧到39	高热
发烧39°	高热
大便水状很希	水样便
一点点的拉	稀便
小便量减少	尿量减少
没有什么精神	精神软
拉都是一点点的拉	稀便
小便量有减少	尿量减少
小便每次都很多尿	尿量增多
小便少很多	尿量减少
精神比较差	精神软
喉咙很红	咽喉炎
咽部发红	咽喉炎
喉咙还红	咽喉炎
超过38度5	中等度热
口水呛着	呛
吐出水	呕吐
吐水	呕吐
吐了点泡泡	口吐白沫
喉中痰鸣	痰鸣音
嗓子有一点炎症	咽喉炎
肿大，发炎	扁桃体炎
扁桃体不肿大	扁桃体肥大
有一点炎症	扁桃体炎
身体比较虚	免疫力低下
抵抗力差一些	免疫力低下
38.2度	低热
体制差一些，抵抗力差	免疫力低下
身体比较虚，抵抗力比较差	免疫力低下
下呼吸道疾病	下呼吸道感染
使劲大便	便秘
3天没有大便	便秘
排气多	屁
不拉粑粑	便秘
不排便	便秘
胃肠功能比较差	胃肠功能紊乱
两天不拉粑粑	便秘
三天不拉粑粑	便秘
大便5-7天还是没有拍出来	便秘
影响孩子生长发育	生长发育异常
宝贝吃的少	食欲不振
几天不大便	便秘
排便也会比较困难	便秘
嘴里有酸味	口臭
肠道病变	肠炎
牛奶蛋白过敏	过敏
蛋白质过敏体质	过敏体质
大便炎症	炎症
干湿性啰音	肺炎
1天七八次	腹泻
加上晚上的话十次左右	腹泻
大便有恶臭	大便酸臭
肠道中有炎症	肠炎
肠道吸收功能减弱	胃肠功能紊乱
大便成稀便或水样便	稀便
体温在三十八度五以下	低热
体温超过三十八度五以上	中等度热
体温升高达四十度	高热
嗓子眼有点不舒服	咽喉不适
睡的不安稳	睡眠障碍
气管和肺炎症	支气管炎
嗓子里有个小红包	咽喉炎
咽喉部感染	咽喉炎
黄绿色稀便	绿便
尿量不太多	尿量减少
拉的有点愁	糊状便
稀便便	稀便
身体虚	免疫力低下
拉屎有点不好	腹泻
拉屎几天都不好	腹泻
手心热	发热
头热	发热
拉的不好	腹泻
细菌或者病毒	细菌感染
头有点热	发热
出小血点	出血点
大便臭这种黄绿色的	绿便
特发性血小板减少性紫癜	紫癜
早上拉了一次，有点稀	稀便
厚腻	舌苔厚黄
饭量减少	食欲不振
一天只吃了一碗	食欲不振
急性支气管炎	支气管炎
消化功能不平衡	胃肠功能紊乱
呼噜	喘息
咕噜	痰鸣音
嗓子有没有发炎	咽喉炎
吃奶呛咳	呛奶
嗓子也不哑	嗓子沙哑
绿色稀便	绿便
拉粑粑是绿色	绿便
肠道功能紊乱	胃肠功能紊乱
好几天不排一次大便	便秘
一天拉好多次	腹泻
大便含水样	水样便
类似鼻涕样	大便粘液
奶瓣多	稀便
气味较重	大便酸臭
发绿	绿便
大便次数多些或者稀些	腹泻
肠道细菌性感染	细菌感染
喉咙咳嗽的发红	咽喉炎
大便经常干	大便干燥
胃肠道蠕动的紊乱	胃肠功能紊乱
肠道的痉挛	肠痉挛
肠粘膜上皮脱落	肠粘膜受损
小便的情况，如果他一天达不到6到8次	尿量减少
38.5°以下	低热
食欲不太好	食欲不振
大于38.5度	中等度热
体重明显减轻	体重减轻
水状便无泡沫	水样便
潜血是阳性	便隐血
肠黏膜的损伤	肠粘膜受损
寒痰	痰
排痰	痰
打呼噜	打鼾
哭醒，有点闹	哭闹
几天一次大便	便秘
什么都不爱吃	食欲不振
影响食欲	食欲不振
38.7	中等度热
睡得不踏实	睡眠障碍
鼻子咕噜咕噜	粗糙呼吸音
痰量	痰
气管没有炎症	气管炎
吃饭会有影响	食欲不振
不好好吃饭	食欲不振
半年了一直是20斤就没有增加	生长发育异常
拉了几次	腹泻
拉的全是水	水样便
吐了一口奶	呕吐
感染。	感染
还有些粘丝，这样的大便	大便粘液
消化不完全	消化不良
大便当中就有粘液	大便粘液
大便当中有粘液，就跟鼻涕似的	大便粘液
拉的一直这样稀	稀便
咕咕咕声音	肠鸣音
38°2	中等度热
呼出的气都是热的	发热
鼻子不是太透气	鼻塞
肺里有痰液	痰
胃肠不太好，食量很少	消化不良
放屁臭	屁
拉粑粑黑绿色很臭	绿便
嘴唇干	口唇干燥
胃肠都混乱	胃肠功能紊乱
消化功能也是差	消化不良
喉咙里面听到那种呼噜呼噜的声音	痰鸣音
嗓子刺挠	咽部不适
充血炎症	咽喉炎
鼻子不透气	鼻塞
咽喉炎症	咽喉炎
喉咙呼声	痰鸣音
拉肚子今天第4天，前3天3-4次，今天夜里拉了3次，水状	腹泻
带水样的大便	水样便
大便看到有粘液，或者有血丝	大便粘液
拉这个肚子	腹泻
体重不长	体重减轻
啦的水多	水样便
啦水水	水样便
拉稀水样	水样便
脸干	皮肤干燥
肚子咕噜咕噜	肠鸣音
大便有点水	水样便
呼吸粗	粗呼吸音
喘气粗	粗糙呼吸音
嘴里有溃疡	口腔溃疡
状态不好	精神软
抵抗力不好	免疫力低下
抵抗力是不大好	免疫力低下
气管不好	气管炎
气管有锣音	啰音
口水偏多	流涎
38.8左右	中等度热
急疹	幼儿急疹
高烧39度以上	高热
体温又上升	发热
39度多	高热
手心脚心发凉	四肢厥冷
体温还是没有好转	发热
大便浠水	稀便
不怎么吃	食欲不振
大便里有就和水一样发亮	大便粘液
粘液，大便稀，次数多	大便粘液
不吃奶，一天吃不了几顿	食欲不振
不吃奶粉	食欲不振
大便味道是酸的	大便酸臭
大便这个酸臭	大便酸臭
稠鼻涕	鼻流涕
流鼻涕，清的	鼻流涕
奶不够吃	乳汁异常
抵抗力就会越差	免疫力低下
大便前就特别难受	便秘
大便都要很用力	便秘
总尿	尿量增多
辣椒种子	便秘
发烧38.5左右	中等度热
便8次	腹泻
粘稠和血样	血便
病原体的感染	感染
不爱吃奶	食欲不振
衣原体	支原体感染
嗓子有些哑	嗓子沙哑
比塞	鼻塞
出气急	呼吸急促
烧38.1	低热
呼吸会略促	呼吸急促
喉咙才疼	咽部不适
呼吸道症状	呼吸道感染
37.3以上	低热
37.9度	低热
每次吃完就拉大便	腹泻
尿量特别多	尿量增多
大便次数太多	腹泻
吃完就拉	腹泻
脾虚	脾胃功能不调
大便是糊状	糊状便
嘴唇红肿	红肿
37度8	低热
尿色黄	尿黄
失水	脱水
体温＜38.5	中等度热
大便不是干燥的，是一个一个的球	大便干燥
消化吸收能力比较差	消化不良
口腔当中有异味	口臭
脾胃功能不好	脾胃功能不调
大便的干燥	大便干燥
影响孩子的正常生长发育	生长发育异常
没有什么状态	精神软
体温大于38.5度	中等度热
小于38.5度	中等度热
便便没那么稀	稀便
大便的水多	水样便
晚上还拉三次	腹泻
胃肠功能发育不完善	胃肠功能紊乱
精神反应欠佳	精神软
嗓子就有点呼呼的声音	痰鸣音
嗓子又呼噜响	痰鸣音
哮鸣音	喘息
大便的稀，颜色绿色	稀便
大便里面还有黄色的东西	稀便
胃肠功能有影响	胃肠功能紊乱
大便一直绿色	绿便
流大便	稀便
拉的都是水	水样便
晚上睡觉不好	睡眠障碍
三四天才大便一次	便秘
三四天大便一次	便秘
将近38.5	中等度热
便中水多	水样便
便带绿色有点结块	绿便
尿量有所减少	尿量减少
温度高	发热
呼吸道和消化道都轻微有些感染	感染
38度五以上	中等度热
吃奶量有明显的减少	食欲不振
呼吸的气息也比较重	粗呼吸音
呼吸气息重	粗呼吸音
呼吸会曾快	呼吸急促
气息重	粗呼吸音
手脚会凉	四肢厥冷
气息也重	粗呼吸音
呼吸也快	呼吸急促
内烧	发热
鼻子有点堵	鼻塞
胃肠型的感冒	肠胃型感冒
尿量比平时少点儿	尿量减少
拉的便便有点发绿	绿便
大便绿色奶瓣	绿便
37.5度	低热
发烧37.5	低热
食欲不好	食欲不振
睡觉时间多	嗜睡
37.5度属于低烧	低热
tu	呕吐
睡觉不稳	睡眠障碍
睡眠质量不好	睡眠障碍
夜间睡眠不安	睡眠障碍
决心	缺锌
轻微气管炎	气管炎
支气管儿炎	支气管炎
小儿气管炎	气管炎
大便次数也增多了两次	腹泻
昨天到今天睡十几分钟就醒了	睡眠障碍
大便次数超过每天三次	腹泻
大便稀，臭味大	稀便
吃饭量下降	食欲不振
宝贝大便次数比较多	腹泻
连声咳	咳嗽
沙哑	嗓子沙哑
堵	鼻塞
一天拉一次还特别臭	大便酸臭
减少	尿量减少
尿挺多的	尿量增多
大便有味	大便酸臭
大便好像没什么味道	大便酸臭
大便粘的还一股酸臭味	大便酸臭
屁股都红	肛门红肿
不咋多	尿量减少
尿就不多了	尿量减少
尿量就是少	尿量减少
拉了才几分钟又拉	腹泻
泡泡	泡沫便
鼻子堵住了	鼻塞
嘴巴呼吸	嘴呼吸
食欲下降	食欲不振
精神食欲很不好	精神软
小便黄黄	尿黄
小便黄	尿黄
精神没以前好	精神软
疱疹溃疡	口腔溃疡
食欲	食欲不振
瘦了	体重减轻
舌苔有点厚腻	舌苔厚黄
拉希屎	稀便
稠糊屎	糊状便
大便有颗粒状	便秘
大便就是稀	稀便
拉的有点干	大便干燥
胃肠功能差	胃肠功能紊乱
屁股红红	肛门红肿
不要吃饭	食欲不振
没有食欲	食欲不振
声音哑	声音嘶哑
胃口不好	食欲不振
感觉喉咙有异物感	咽喉不适
37度上下	低热
惊	惊厥
后脑勺头发少	枕秃
后脑勺的头发少	枕秃
出汗多	出汗
喉间痰鸣	痰鸣音
化脓性脑膜炎	脑膜炎
气管问题	气管炎
早上大便三次了，果冻状，有粘液	大便粘液
嗓子一直有呼噜声	痰鸣音
气管严重	气管炎
喉咙不会红	咽喉炎
黄绿色奶瓣，呈水样，很稀	稀便
一天基本都在迷糊	精神软
肚子鼓	腹胀
肚脐眼感觉也鼓在外面	脐疝
按压肚脐眼会有嘶嘶的声音	肠鸣音
肠子蠕动	肠鸣音
大便不好	稀便
三十九度三	高热
超过38°五	中等度热
低于38°五	中等度热
菌群的紊乱	菌群失调
上颚发白	口唇发白
拉粑好像都不消化	消化不良
拉的就糊糊	糊状便
不消化的	消化不良
黄涕	鼻流涕
比踹	喘憋
肺部那个铜锣音	啰音
清涕	鼻流涕
体温计，38	中等度热
微汗	出汗
大便几天一次，糊状	糊状便
支气管发生了痉挛	支气管炎
吃奶比之前少了	食欲不振
磨牙	磨牙症
大便是很稀	稀便
高烧超过三十八度五	发热
38.6度	中等度热
今天大便5次	腹泻
大便次数还是多一些，看着也稀	腹泻
拉的都比较稀	稀便
便便发灰白硬	大便干燥
大便次数多稀	稀便
继发的乳糖不耐受	乳糖不耐受
母乳性腹泻	腹泻
大便又撑干的硬的	大便干燥
大便水分多	水样便
小脸涨的通红	呼吸困难
呼吸声音有点粗	粗呼吸音
吃饭不如前几天	食欲不振
昨天到今天现在才一次尿	尿量减少
药物或者食物过敏	过敏
嘴唇很红	红肿
发热到三十八度多	发热
舌头红	红肿
溶血性链球菌感染	细菌感染
口唇发红	红肿
嘴唇红	发红
眼部疼痛	疼痛
咽部疼痛	咽喉不适
舌头特别的红	发红
大便臭不臭	大便酸臭
吃奶比较差	食欲不振
一直流口水	流涎
流口水吐舌头	流涎
烧到三十九度九	高热
咳簌	咳嗽
体温现在是三十九	高热
用嘴喘气	嘴呼吸
用嘴巴呼吸	嘴呼吸
大便一直臭	大便酸臭
便便早上今天拉了两次	腹泻
蛋花便便	蛋花汤样便
便便蛋花有粘液	蛋花汤样便
痰呼呼的	痰鸣音
呼呼声音	痰鸣音
大便青绿	绿便
拉青黑色的便	黑便
烧38度3	中等度热
像拉弦子一样	喘鸣
拉弦子	喘鸣
憋	喘憋
气管儿的炎症	气管炎
烧到40度	高热
体温在38.5以上	中等度热
临时退热	退热
三天没结大便	便秘
总睡觉	嗜睡
范迷糊	精神软
这几天没怎么大便	便秘
没有大便	便秘
放pi	屁
大便越来越稀	稀便
睡觉时不通气	鼻塞
发烧39.3	高热
细菌性感冒	感冒
39.3	高热
四十度	高热
没汗	出汗
调节胃肠功能	胃肠功能紊乱
拉的跟水样	水样便
干燥	大便干燥
拉黄溪水	水样便
拉7----8次	腹泻
尿的少	尿量减少
拉的那么多次	腹泻
吃不多	食欲不振
大便酸味重，有气泡	大便酸臭
大便也没有血	血便
尿量非常少	尿量减少
涂	呕吐
黄色水状带沫	蛋花汤样便
次数多，有五六次	腹泻
肚子总呼噜噜	肠鸣音
大便次数多，稀，有水	腹泻
水样的大便	水样便
大便太多了	腹泻
吃饱就拉	腹泻
大便的话次数增多	腹泻
大便看着有未消化的奶瓣	稀便
下眼皮有点冲血	充血
黄稀便	稀便
大便时是两三天拉一回	便秘
便便会偏绿	绿便
菌群紊乱	菌群失调
吐泡泡	口吐白沫
双肺纹理增粗	肺纹理增粗
嗓子还有点红	咽喉炎
咽喉部红	咽喉炎
烧38℃	发热
烧39℃	高热
大便一直好干	大便干燥
肚子咕噜响	肠鸣音
大便有点发绿	绿便
拉三次	腹泻
额口疮	鹅口疮
霉菌感染	感染
拉的稀的，还有点泡泡	稀便
急性腹泻病	腹泻
尿量的减少	尿量减少
体温38.3	低热
呼吸的声音都很大	粗呼吸音
体温38°三	低热
尿液偶有发黄减少了一点	尿量减少
尿发黄	尿黄
食欲仍然不佳	食欲不振
室缺	室间隔缺损
轻度三尖瓣	器官异常
大便黄色有点稀	稀便
大便五次	腹泻
便得比较稀	稀便
大便比较粘	大便粘液
发黑	黑便
糊样	糊状便
有酸臭味	大便酸臭
头老是左右摇	抽搐
拉一次金黄色的糊样	糊状便
